project,test_name,sha,diff_frac,n_tokens_pre,n_tokens_post,in_flakebench,reason,n_changed_files,path,test
apache_hadoop,TestDFSClientSocketSize.testAutoTuningSendBufferSize,5537c6b23430285ebee33c6d9b69d3ec1e9b17b1,0.41379310344827586,54.0,58.0,False,diff_exceeds_40pct_of_tokens,,,
apache_hadoop,TestDFSClientSocketSize.testDefaultSendBufferSize,5537c6b23430285ebee33c6d9b69d3ec1e9b17b1,0.5333333333333333,30.0,29.0,False,diff_exceeds_40pct_of_tokens,,,
apache_hadoop,TestDFSClientSocketSize.testSpecifiedSendBufferSize,5537c6b23430285ebee33c6d9b69d3ec1e9b17b1,0.6206896551724138,47.0,87.0,False,diff_exceeds_40pct_of_tokens,,,
,,3a8cbd3378cffdc96aad1c52e9b0b2e1481ca45f,,,,,no_test_file_changed,5.0,,
,,0dfc7dae1875b1c0463d279bf6fd557447b99caf,,,,,no_test_file_changed,1.0,,
,,413a58d3d92b162a7d004318453cf3d386824f7e,,,,,no_test_file_changed,1.0,,
,,b19048b72669fc0e96665b1b125dc1fda21f5993,,,,,no_test_file_changed,1.0,,
,,e05e9c5e4be580691cc55a59f3256595393203a1,,,,,file_missing_on_one_side,,src/test/java/com/alibaba/json/bvt/path/extract/JSONPath_extract_4_multi.java,
apache_camel,FtpReconnectAttemptServerStoppedIT.testFromFileToFtp,a149852adc9fd6a8eb71d39edc1ff4736c881975,0.4645669291338583,88.0,127.0,True,diff_exceeds_40pct_of_tokens,,,
,,505e08a76425c6e49ff5bc691f8ca7587184a2bf,,,,,no_test_file_changed,1.0,,
,,de5bd0024b4e5444a541fa4fa4ec518176b646f3,,,,,no_test_file_changed,1.0,,
,,c1642522bbf5adc70fb57517e46d5a921d9a5703,,,,,no_test_file_changed,2.0,,
quarkusio_quarkus,MicrometerTimedTest.testTimedMethod,bb882d1d4e685ce2ca31c04795ae1b0012872e1d,0.5443037974683544,144.0,316.0,False,diff_exceeds_40pct_of_tokens,,,
